,@FREQ,@REF_AREA,@INDICATOR,@COUNTERPART_AREA,@UNIT_MULT,@TIME_FORMAT,Obs_0_@TIME_PERIOD,Obs_0_@OBS_VALUE,Obs_1_@TIME_PERIOD,Obs_1_@OBS_VALUE
155,A,DZ,TXG_FOB_USD,W00,6,P1Y,2021,38434.843397,2022,65102.212578
156,A,GQ,TXG_FOB_USD,W00,6,P1Y,2021,4695.751872,2022,7673.276422
157,A,JP,TXG_FOB_USD,W00,6,P1Y,2021,756166.163384,2022,746720.431187
158,A,ZM,TXG_FOB_USD,W00,6,P1Y,2021,11141.09967,2022,17614.334709
159,A,SV,TXG_FOB_USD,W00,6,P1Y,2021,6621.385982,2022,7115.101783
160,A,AF,TXG_FOB_USD,W00,6,P1Y,2021,777.035183,2022,449.403799
161,A,LT,TXG_FOB_USD,W00,6,P1Y,2021,40705.673741,2022,46339.780884
162,A,TZ,TXG_FOB_USD,W00,6,P1Y,2021,6391.040503,2022,9824.773113
163,A,CS,TXG_FOB_USD,W00,6,P1Y,,,,
164,A,MU,TXG_FOB_USD,W00,6,P1Y,2021,1649.978155,2022,1646.519465
165,A,PT,TXG_FOB_USD,W00,6,P1Y,2021,75229.280076,2022,82354.805503
166,A,LV,TXG_FOB_USD,W00,6,P1Y,2021,20833.171465,2022,24011.049604
167,A,GN,TXG_FOB_USD,W00,6,P1Y,2021,5176.35863,2022,5208.977799
168,A,NC,TXG_FOB_USD,W00,6,P1Y,2021,1337.931087,2022,1594.022952
169,A,GE,TXG_FOB_USD,W00,6,P1Y,2021,4242.323767,2022,5592.764969
170,A,RU,TXG_FOB_USD,W00,6,P1Y,2021,492048.058908,2022,572471.050832
171,A,R14,TXG_FOB_USD,W00,6,P1Y,2021,716833.758955,2022,818732.854883
172,A,DM,TXG_FOB_USD,W00,6,P1Y,2021,31.30903,2022,28.277421
173,A,GH,TXG_FOB_USD,W00,6,P1Y,2021,18109.303001,2022,18564.496772
174,A,XR29,TXG_FOB_USD,W00,6,P1Y,2021,12696997.525111,2022,13899713.426466
175,A,GL,TXG_FOB_USD,W00,6,P1Y,2021,957.862157,2022,997.924369
176,A,CY,TXG_FOB_USD,W00,6,P1Y,2021,3887.900803,2022,4342.448272
177,A,SB,TXG_FOB_USD,W00,6,P1Y,2021,356.063393,2022,378.598104
178,A,MY,TXG_FOB_USD,W00,6,P1Y,2021,299037.704561,2022,352337.923095
179,A,ES,TXG_FOB_USD,W00,6,P1Y,2021,379969.120569,2022,418364.066638
