,@FREQ,@REF_AREA,@INDICATOR,@COUNTERPART_AREA,@UNIT_MULT,@TIME_FORMAT,Obs_@TIME_PERIOD,Obs_@OBS_VALUE
172,M,AZ,TXG_FOB_USD,W00,6,P1M,2023-01,1876.7626
173,M,RO,TXG_FOB_USD,W00,6,P1M,2023-01,7619.367711
174,M,NI,TXG_FOB_USD,W00,6,P1M,2023-01,361.591485
175,M,XS25,TXG_FOB_USD,W00,6,P1M,2023-01,453657.05716
176,M,TR,TXG_FOB_USD,W00,6,P1M,2023-01,19356.687724
177,M,VN,TXG_FOB_USD,W00,6,P1M,2023-01,27825.26741
178,M,SV,TXG_FOB_USD,W00,6,P1M,2023-01,522.547849
179,M,JM,TXG_FOB_USD,W00,6,P1M,2023-01,81.583921
180,M,TZ,TXG_FOB_USD,W00,6,P1M,2023-01,959.36038
181,M,ML,TXG_FOB_USD,W00,6,P1M,2023-01,551.680436
182,M,BN,TXG_FOB_USD,W00,6,P1M,2023-01,1293.393952
183,M,MK,TXG_FOB_USD,W00,6,P1M,2023-01,671.065821
184,M,SC,TXG_FOB_USD,W00,6,P1M,2023-01,117.289823
185,M,1C_903,TXG_FOB_USD,W00,6,P1M,2023-01,121078.750247
186,M,LR,TXG_FOB_USD,W00,6,P1M,2023-01,7.696329
187,M,MM,TXG_FOB_USD,W00,6,P1M,2023-01,1651.232423
188,M,R1,TXG_FOB_USD,W00,6,P1M,,
189,M,ES,TXG_FOB_USD,W00,6,P1M,2023-01,33398.363501
190,M,1C_459,TXG_FOB_USD,W00,6,P1M,,
191,M,HK,TXG_FOB_USD,W00,6,P1M,2023-01,39010.705118
192,M,KM,TXG_FOB_USD,W00,6,P1M,2023-01,1.397726
193,M,MG,TXG_FOB_USD,W00,6,P1M,2023-01,332.806102
194,M,MZ,TXG_FOB_USD,W00,6,P1M,2023-01,830.075177
195,M,WS,TXG_FOB_USD,W00,6,P1M,2023-01,1.558005
196,M,GR,TXG_FOB_USD,W00,6,P1M,2023-01,4727.245962
197,M,KR,TXG_FOB_USD,W00,6,P1M,2023-01,46383.976
198,M,SY,TXG_FOB_USD,W00,6,P1M,2023-01,532.66364
199,M,CV,TXG_FOB_USD,W00,6,P1M,2023-01,5.818848
200,M,SN,TXG_FOB_USD,W00,6,P1M,2023-01,620.587126
201,M,DE,TXG_FOB_USD,W00,6,P1M,2023-01,129644.622868
202,M,LB,TXG_FOB_USD,W00,6,P1M,2023-01,380.35484
203,M,LY,TXG_FOB_USD,W00,6,P1M,2023-01,3266.059489
204,M,IL,TXG_FOB_USD,W00,6,P1M,2023-01,5350.3
205,M,IN,TXG_FOB_USD,W00,6,P1M,2023-01,41047.510939
206,M,JO,TXG_FOB_USD,W00,6,P1M,2023-01,765.033098
207,M,FK,TXG_FOB_USD,W00,6,P1M,2023-01,23.066337
208,M,TL,TXG_FOB_USD,W00,6,P1M,2023-01,14.881869
209,M,NA,TXG_FOB_USD,W00,6,P1M,2023-01,521.908664
210,M,SM,TXG_FOB_USD,W00,6,P1M,2023-01,19.450308
211,M,CW,TXG_FOB_USD,W00,6,P1M,2023-01,16.825256
212,M,BT,TXG_FOB_USD,W00,6,P1M,2023-01,33.913573
213,M,PS,TXG_FOB_USD,W00,6,P1M,2023-01,187.555248
214,M,KI,TXG_FOB_USD,W00,6,P1M,2023-01,4.571194
215,M,NR,TXG_FOB_USD,W00,6,P1M,2023-01,14.140509
216,M,SX,TXG_FOB_USD,W00,6,P1M,2023-01,13.675252
217,M,LS,TXG_FOB_USD,W00,6,P1M,2023-01,143.516629
218,M,MS,TXG_FOB_USD,W00,6,P1M,2023-01,0.275761
219,M,AG,TXG_FOB_USD,W00,6,P1M,2023-01,2.533675
220,M,AI,TXG_FOB_USD,W00,6,P1M,2023-01,2.524876
221,M,GI,TXG_FOB_USD,W00,6,P1M,2023-01,3.901316
222,M,PW,TXG_FOB_USD,W00,6,P1M,2023-01,0.070382
223,M,SZ,TXG_FOB_USD,W00,6,P1M,2023-01,175.764982
224,M,PF,TXG_FOB_USD,W00,6,P1M,2023-01,8.685795
225,M,MH,TXG_FOB_USD,W00,6,P1M,2023-01,15.451042
226,M,AS,TXG_FOB_USD,W00,6,P1M,2023-01,1.494598
227,M,U2,TXG_FOB_USD,W00,6,P1M,2023-01,464411.794413
228,M,GU,TXG_FOB_USD,W00,6,P1M,2023-01,14.454853
229,M,ER,TXG_FOB_USD,W00,6,P1M,2023-01,44.334882
230,M,TV,TXG_FOB_USD,W00,6,P1M,2023-01,1.771234
231,M,VA,TXG_FOB_USD,W00,6,P1M,2023-01,2.246622
232,M,XK,TXG_FOB_USD,W00,6,P1M,2023-01,71.192783
233,M,FM,TXG_FOB_USD,W00,6,P1M,2023-01,41.986893
234,M,SS,TXG_FOB_USD,W00,6,P1M,2023-01,5.515343
235,M,BW,TXG_FOB_USD,W00,6,P1M,2023-01,476.918482
236,M,XS5,TXG_FOB_USD,W00,6,P1M,2023-01,126174.635088
