,@FREQ,@REF_AREA,@INDICATOR,@COUNTERPART_AREA,@UNIT_MULT,@TIME_FORMAT,Obs_0_@TIME_PERIOD,Obs_0_@OBS_VALUE,Obs_1_@TIME_PERIOD,Obs_1_@OBS_VALUE
226,A,US,TXG_FOB_USD,IT,6,P1Y,2020,19921.650935,2021,21660.534828
227,A,US,TXG_FOB_USD,PA,6,P1Y,2020,5767.472923,2021,8133.22345
228,A,US,TXG_FOB_USD,KP,6,P1Y,,,,
229,A,US,TXG_FOB_USD,DE2,6,P1Y,,,,
230,A,US,TXG_FOB_USD,E1,6,P1Y,2020,26991.822158,2021,33527.862252
231,A,US,TXG_FOB_USD,BI,6,P1Y,2020,5.40537,2021,4.448354
232,A,US,TXG_FOB_USD,SM,6,P1Y,2020,2.060613,2021,61.724872
233,A,US,TXG_FOB_USD,AI,6,P1Y,2020,47.057006,2021,79.695113
234,A,US,TXG_FOB_USD,SX,6,P1Y,2020,335.607706,2021,385.513621
235,A,US,TXG_FOB_USD,MH,6,P1Y,2020,146.526645,2021,237.846744
236,A,US,TXG_FOB_USD,FM,6,P1Y,2020,57.944866,2021,49.42446
237,A,US,TXG_FOB_USD,CW,6,P1Y,2020,319.245501,2021,342.318945
238,A,US,TXG_FOB_USD,VA,6,P1Y,2020,0.31494,2021,0.344225
239,A,US,TXG_FOB_USD,U2,6,P1Y,2020,213554.550372,2021,248684.645196
240,A,US,TXG_FOB_USD,MS,6,P1Y,2020,11.599,2021,10.265781
241,A,US,TXG_FOB_USD,XS5,6,P1Y,2020,50677.525191,2021,55866.10506
