date,GDP,reporter
2019-01-01,1651422932447.77,"Korea, Rep."
2020-01-01,1644312831906.17,"Korea, Rep."
2021-01-01,1810955871380.98,"Korea, Rep."
2019-01-01,136196760180.976,Kuwait
2020-01-01,105960225688.145,Kuwait
2019-01-01,4773979941240.86,Latin America & Caribbean (excluding high income)
2020-01-01,3997651287256.03,Latin America & Caribbean (excluding high income)
2021-01-01,4585103994306.3,Latin America & Caribbean (excluding high income)
2019-01-01,18740559554.1632,Lao PDR
2020-01-01,18981800705.0794,Lao PDR
2021-01-01,18827148509.5798,Lao PDR
2019-01-01,51953744530.2445,Lebanon
2020-01-01,31712128253.7961,Lebanon
2021-01-01,23131940280.7316,Lebanon
2019-01-01,3319596500,Liberia
2020-01-01,3039982500,Liberia
2021-01-01,3509000000,Liberia
2019-01-01,69252306372.0232,Libya
2020-01-01,50357312594.5129,Libya
2021-01-01,42817472975.3677,Libya
2019-01-01,2094201725.17451,St. Lucia
2020-01-01,1516015718.73491,St. Lucia
2021-01-01,1691275156.6002,St. Lucia
2019-01-01,5618711473342.91,Latin America & Caribbean
2020-01-01,4742371960398.12,Latin America & Caribbean
2021-01-01,5454428996198.05,Latin America & Caribbean
2019-01-01,1153041256783.79,Least developed countries: UN classification
2020-01-01,1176576556341.42,Least developed countries: UN classification
2021-01-01,1280907562189.61,Least developed countries: UN classification
2019-01-01,6427248943.44939,Liechtenstein
2020-01-01,6113951011.71459,Liechtenstein
2019-01-01,89014990791.9051,Sri Lanka
2020-01-01,85349112170.9594,Sri Lanka
2021-01-01,88927263724.8592,Sri Lanka
2019-01-01,32079765914807.5,Low & middle income
2020-01-01,30948393969161.3,Low & middle income
2021-01-01,36370594658882.7,Low & middle income
2019-01-01,2453980835.24819,Lesotho
2020-01-01,2231214507.47611,Lesotho
2021-01-01,2496134680.31694,Lesotho
2019-01-01,23047002747227.5,Late-demographic dividend
2020-01-01,22493447284783,Late-demographic dividend
2021-01-01,26622141277937,Late-demographic dividend
2019-01-01,54751510087.7803,Lithuania
2020-01-01,56846622904.4391,Lithuania
2021-01-01,66445256585.3671,Lithuania
2019-01-01,69825641851.0117,Luxembourg
2020-01-01,73992591285.3029,Luxembourg
2021-01-01,85506243833.7816,Luxembourg
2019-01-01,34343961072.8235,Latvia
2020-01-01,34601740323.3386,Latvia
2021-01-01,39853501579.8211,Latvia
2019-01-01,55204758069.5124,"Macao SAR, China"
2020-01-01,25459563655.4806,"Macao SAR, China"
2021-01-01,30123914808.5691,"Macao SAR, China"
2019-01-01,128919944681.869,Morocco
2020-01-01,121348138320.276,Morocco
2021-01-01,142866329198.42,Morocco
2019-01-01,7383745662.15157,Monaco
2020-01-01,6739691604.79726,Monaco
2021-01-01,8596096984.03312,Monaco
2019-01-01,11971345002.7757,Moldova
2020-01-01,11859730543.5525,Moldova
2021-01-01,13679221333.2052,Moldova
2019-01-01,14104664514.8681,Madagascar
2020-01-01,13051441059.3338,Madagascar
2021-01-01,14472603322.5571,Madagascar
2019-01-01,5609400721.62268,Maldives
2020-01-01,3746321936.37729,Maldives
2021-01-01,5405576235.79462,Maldives
2019-01-01,3472047486173.32,Middle East & North Africa
2020-01-01,3115703083275.4,Middle East & North Africa
2021-01-01,3679844251878.64,Middle East & North Africa
2019-01-01,1269011767478.56,Mexico
2020-01-01,1090515389749.41,Mexico
2021-01-01,1272839334119.3,Mexico
2019-01-01,232092300,Marshall Islands
2020-01-01,241722400,Marshall Islands
2021-01-01,259538700,Marshall Islands
2019-01-01,31590337549585.4,Middle income
2020-01-01,30468597959817.3,Middle income
2021-01-01,35845142448794.2,Middle income
2019-01-01,12606338448.547,North Macedonia
2020-01-01,12363580534.6811,North Macedonia
2021-01-01,13825049831.7959,North Macedonia
2019-01-01,17280251193.9527,Mali
2020-01-01,17465392915.9153,Mali
2021-01-01,19140461605.8227,Mali
2019-01-01,15725847979.4022,Malta
2020-01-01,14933066818.9606,Malta
2021-01-01,17364044943.8202,Malta
2019-01-01,68697759361.231,Myanmar
2020-01-01,78930257227.0908,Myanmar
2021-01-01,65091751273.2879,Myanmar
2019-01-01,1393571952376.11,Middle East & North Africa (excluding high income)
2020-01-01,1274090477533.63,Middle East & North Africa (excluding high income)
2021-01-01,1493751699435.47,Middle East & North Africa (excluding high income)
2019-01-01,5542053845.29274,Montenegro
2020-01-01,4769860740.74074,Montenegro
2021-01-01,5861268038.7982,Montenegro
2019-01-01,14206359006.8095,Mongolia
2020-01-01,13312981594.573,Mongolia
2021-01-01,15286441818.1437,Mongolia
2019-01-01,1182000000,Northern Mariana Islands
2019-01-01,15390039241.674,Mozambique
2020-01-01,14028811071.7628,Mozambique
2021-01-01,15776758632.8573,Mozambique
2019-01-01,8066126312.31807,Mauritania
2020-01-01,8405491201.74674,Mauritania
2021-01-01,9996249658.23982,Mauritania
2019-01-01,14436353897.9802,Mauritius
2020-01-01,11401050654.5624,Mauritius
2021-01-01,11529042672.3528,Mauritius
2019-01-01,11025371147.1876,Malawi
2020-01-01,12182348212.7073,Malawi
2021-01-01,12626717491.8941,Malawi
2019-01-01,365175135787.568,Malaysia
2020-01-01,337337932675.152,Malaysia
2021-01-01,372980957208.023,Malaysia
2019-01-01,23130414629482.3,North America
2020-01-01,22712784167568.4,North America
2021-01-01,25310703498717.4,North America
2019-01-01,12541928104.6242,Namibia
2020-01-01,10581585630.0773,Namibia
2021-01-01,12310595843.9353,Namibia
2019-01-01,9438130987.37298,New Caledonia
2020-01-01,9435529927.2471,New Caledonia
2021-01-01,10071351960.0477,New Caledonia
2019-01-01,12916455161.1081,Niger
2020-01-01,13744174689.9681,Niger
2021-01-01,14915001426.9724,Niger
2019-01-01,448120015209.524,Nigeria
2020-01-01,432198936002.177,Nigeria
2021-01-01,440833583992.485,Nigeria
2019-01-01,12596636042.2321,Nicaragua
2020-01-01,12586970511.4131,Nicaragua
2021-01-01,14013022092.0645,Nicaragua
2019-01-01,910194347568.626,Netherlands
2020-01-01,909793466661.481,Netherlands
2021-01-01,1012846760976.73,Netherlands
2019-01-01,404941363636.364,Norway
2020-01-01,362198318435.26,Norway
2021-01-01,482174854481.956,Norway
2019-01-01,34186190995.9565,Nepal
2020-01-01,33433670511.9364,Nepal
2021-01-01,36288830373.4106,Nepal
2019-01-01,118724073.809183,Nauru
2020-01-01,114626625.553023,Nauru
2021-01-01,133218896.932607,Nauru
2019-01-01,213434571357.984,New Zealand
2020-01-01,211734532308.013,New Zealand
2021-01-01,249885687029.634,New Zealand
2019-01-01,53878590811090.2,OECD members
2020-01-01,52517052000302.5,OECD members
2021-01-01,58268353654249.4,OECD members
2019-01-01,88060858257.4772,Oman
2020-01-01,75909397659.2978,Oman
2021-01-01,88191977373.212,Oman
2019-01-01,433363259897.155,Other small states
2020-01-01,378315467558.569,Other small states
2021-01-01,453948317534.684,Other small states
2019-01-01,320909489229.723,Pakistan
2020-01-01,300425666773.043,Pakistan
2021-01-01,348262544719.178,Pakistan
2019-01-01,66984400000,Panama
2020-01-01,53977000000,Panama
2021-01-01,63605100000,Panama
2019-01-01,228323495040.901,Peru
2020-01-01,201705055938.653,Peru
2021-01-01,223249497500.387,Peru
2019-01-01,376823278560.849,Philippines
2020-01-01,361751116292.541,Philippines
2021-01-01,394086401171.168,Philippines
2019-01-01,278900000,Palau
2020-01-01,251900000,Palau
2021-01-01,217800000,Palau
2019-01-01,24751344560.8856,Papua New Guinea
2020-01-01,23848265895.9538,Papua New Guinea
2021-01-01,26594305745.554,Papua New Guinea
2019-01-01,596054591863.312,Poland
2020-01-01,599449188399.108,Poland
2021-01-01,679444832854.295,Poland
2019-01-01,1401120806330.91,Pre-demographic dividend
2020-01-01,1316350192560.25,Pre-demographic dividend
2021-01-01,1434259111659.57,Pre-demographic dividend
2019-01-01,105126400000,Puerto Rico
2020-01-01,103020300000,Puerto Rico
2021-01-01,106525700000,Puerto Rico
2019-01-01,239986922638.902,Portugal
2020-01-01,229031860520.777,Portugal
2021-01-01,253663144586.019,Portugal
2019-01-01,37925338329.1494,Paraguay
2020-01-01,35432178068.1814,Paraguay
2021-01-01,39495431574.1782,Paraguay
2019-01-01,17133500000,West Bank and Gaza
2020-01-01,15531700000,West Bank and Gaza
2021-01-01,18036800000,West Bank and Gaza
2019-01-01,10736233419.3753,Pacific island small states
2020-01-01,9515995237.06002,Pacific island small states
2021-01-01,9481916212.12622,Pacific island small states
2019-01-01,50879345159852,Post-demographic dividend
2020-01-01,49697795866801.5,Post-demographic dividend
2021-01-01,54972726099855.9,Post-demographic dividend
2019-01-01,6001384759.57628,French Polynesia
2020-01-01,5709421968.74051,French Polynesia
2021-01-01,6054676735.37523,French Polynesia
2019-01-01,175837550989.011,Qatar
2020-01-01,144411363345.27,Qatar
2021-01-01,179677211793.938,Qatar
2019-01-01,251019278416.197,Romania
2020-01-01,251362040527.804,Romania
2021-01-01,284087563695.798,Romania
2019-01-01,1693113904262.89,Russian Federation
2020-01-01,1489362488439.76,Russian Federation
2021-01-01,1778782625793.74,Russian Federation
2019-01-01,10356327149.4262,Rwanda
2020-01-01,10184345442.1708,Rwanda
2021-01-01,11070356519.4804,Rwanda
2019-01-01,3653950915835.84,South Asia
2020-01-01,3487013484521.62,South Asia
2021-01-01,4088770638066.94,South Asia
2019-01-01,803616264791.024,Saudi Arabia
2020-01-01,703367841222.555,Saudi Arabia
2021-01-01,833541236569.315,Saudi Arabia
2019-01-01,32338079165.2893,Sudan
2020-01-01,27034593750,Sudan
2021-01-01,34326058557.4418,Sudan
2019-01-01,23398811423.578,Senegal
2020-01-01,24493157583.2282,Senegal
2021-01-01,27625388352.1688,Senegal
2019-01-01,375472731271.075,Singapore
2020-01-01,345295933898.674,Singapore
2021-01-01,396986899888.351,Singapore
2019-01-01,1619154819.29185,Solomon Islands
2020-01-01,1536148245.54995,Solomon Islands
2021-01-01,1631486531.92364,Solomon Islands
2019-01-01,4076578542.56207,Sierra Leone
2020-01-01,4063289449.58795,Sierra Leone
2021-01-01,4042237864.28942,Sierra Leone
2019-01-01,26881140000,El Salvador
2020-01-01,24563020000,El Salvador
2021-01-01,28736940000,El Salvador
2019-01-01,1616188702.34405,San Marino
2020-01-01,1541204337.79164,San Marino
2019-01-01,6485000000,Somalia
2020-01-01,6883000000,Somalia
2021-01-01,7628000011.46184,Somalia
2019-01-01,51514222381.8428,Serbia
2020-01-01,53356480453.8048,Serbia
2021-01-01,63082047649.8528,Serbia
2019-01-01,1801676535161.84,Sub-Saharan Africa (excluding high income)
2020-01-01,1717749672914.59,Sub-Saharan Africa (excluding high income)
2021-01-01,1927598981029.07,Sub-Saharan Africa (excluding high income)
2019-01-01,1803362506027.61,Sub-Saharan Africa
2020-01-01,1719009523108.91,Sub-Saharan Africa
2021-01-01,1929052252557.39,Sub-Saharan Africa
2019-01-01,521527918170.426,Small states
2020-01-01,453728268085.958,Small states
2021-01-01,538706065410.038,Small states
2019-01-01,427425039.684339,Sao Tome and Principe
2020-01-01,472551022.513384,Sao Tome and Principe
2021-01-01,526653790.670814,Sao Tome and Principe
2019-01-01,4016040575.08796,Suriname
2020-01-01,2911807496.20227,Suriname
2021-01-01,2984706243.65482,Suriname
2019-01-01,105720354988.541,Slovak Republic
2020-01-01,106696828625.55,Slovak Republic
2021-01-01,116527101097.7,Slovak Republic
2019-01-01,54331588482.3058,Slovenia
2020-01-01,53706800043.6842,Slovenia
2021-01-01,61748586534.8672,Slovenia
2019-01-01,533879529188.454,Sweden
2020-01-01,547054174235.876,Sweden
2021-01-01,635663801201.765,Sweden
2019-01-01,4495264160.86577,Eswatini
2020-01-01,3982226055.38454,Eswatini
2021-01-01,4743335152.94181,Eswatini
2019-01-01,1684373490.19831,Seychelles
2020-01-01,1261198524.11092,Seychelles
2021-01-01,1454458183.85981,Seychelles
2019-01-01,22443299775.342,Syrian Arab Republic
2020-01-01,11079795397.2805,Syrian Arab Republic
2019-01-01,1197415000,Turks and Caicos Islands
2020-01-01,924583000,Turks and Caicos Islands
2021-01-01,943269800,Turks and Caicos Islands
2019-01-01,11314951342.7807,Chad
2020-01-01,10715396135.4168,Chad
2021-01-01,11779980801.7843,Chad
2019-01-01,17185732294158.7,East Asia & Pacific (IDA & IBRD countries)
2020-01-01,17464369876211.7,East Asia & Pacific (IDA & IBRD countries)
2021-01-01,20725171469830.4,East Asia & Pacific (IDA & IBRD countries)
2019-01-01,4158041868619.31,Europe & Central Asia (IDA & IBRD countries)
2020-01-01,3891716780502.41,Europe & Central Asia (IDA & IBRD countries)
2021-01-01,4550386471314.9,Europe & Central Asia (IDA & IBRD countries)
2019-01-01,7220395247.7424,Togo
2020-01-01,7574636978.66175,Togo
2021-01-01,8413200567.6151,Togo
2019-01-01,544081056184.697,Thailand
2020-01-01,499681757030.968,Thailand
2021-01-01,505947037098.424,Thailand
